mat_index,w,x,y,z,angle_rad,angle_deg,axis_x,axis_y,axis_z
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-1.0,-0.0,-0.0,-0.0,6.283185307179586,360.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,3.141592653589793,180.0,1.0,0.0,0.0
1,-0.0,-1.0,-0.0,-0.0,3.141592653589793,180.0,-1.0,-0.0,-0.0
2,0.0,0.0,1.0,0.0,3.141592653589793,180.0,0.0,1.0,0.0
2,-0.0,-0.0,-1.0,-0.0,3.141592653589793,180.0,-0.0,-1.0,-0.0
3,0.0,0.0,0.0,1.0,3.141592653589793,180.0,0.0,0.0,1.0
3,-0.0,-0.0,-0.0,-1.0,3.141592653589793,180.0,-0.0,-0.0,-1.0
4,0.7071067811865476,0.7071067811865475,0.0,0.0,1.5707963267948966,90.0,1.0,0.0,0.0
4,-0.7071067811865476,-0.7071067811865475,-0.0,-0.0,4.71238898038469,270.0,-1.0,-0.0,-0.0
5,0.7071067811865476,-0.7071067811865475,0.0,0.0,1.5707963267948966,90.0,-1.0,0.0,0.0
5,-0.7071067811865476,0.7071067811865475,-0.0,-0.0,4.71238898038469,270.0,1.0,-0.0,-0.0
6,0.0,0.0,0.7071067811865475,0.7071067811865476,3.141592653589793,180.0,0.0,0.7071067811865475,0.7071067811865476
6,-0.0,-0.0,-0.7071067811865475,-0.7071067811865476,3.141592653589793,180.0,-0.0,-0.7071067811865475,-0.7071067811865476
7,0.0,0.0,-0.7071067811865475,0.7071067811865476,3.141592653589793,180.0,0.0,-0.7071067811865475,0.7071067811865476
7,-0.0,-0.0,0.7071067811865475,-0.7071067811865476,3.141592653589793,180.0,-0.0,0.7071067811865475,-0.7071067811865476
8,0.0,0.7071067811865475,0.7071067811865476,0.0,3.141592653589793,180.0,0.7071067811865475,0.7071067811865476,0.0
8,-0.0,-0.7071067811865475,-0.7071067811865476,-0.0,3.141592653589793,180.0,-0.7071067811865475,-0.7071067811865476,-0.0
9,0.7071067811865476,0.0,0.0,0.7071067811865475,1.5707963267948966,90.0,0.0,0.0,1.0
9,-0.7071067811865476,-0.0,-0.0,-0.7071067811865475,4.71238898038469,270.0,-0.0,-0.0,-1.0
10,0.7071067811865476,0.0,0.0,-0.7071067811865475,1.5707963267948966,90.0,0.0,0.0,-1.0
10,-0.7071067811865476,-0.0,-0.0,0.7071067811865475,4.71238898038469,270.0,-0.0,-0.0,1.0
11,0.0,-0.7071067811865475,0.7071067811865476,0.0,3.141592653589793,180.0,-0.7071067811865475,0.7071067811865476,0.0
11,-0.0,0.7071067811865475,-0.7071067811865476,-0.0,3.141592653589793,180.0,0.7071067811865475,-0.7071067811865476,-0.0
12,0.5,0.5,0.5,0.5,2.0943951023931953,119.99999999999999,0.5773502691896258,0.5773502691896258,0.5773502691896258
12,-0.5,-0.5,-0.5,-0.5,4.188790204786391,240.00000000000003,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258
13,0.5,-0.5,-0.5,0.5,2.0943951023931953,119.99999999999999,-0.5773502691896258,-0.5773502691896258,0.5773502691896258
13,-0.5,0.5,0.5,-0.5,4.188790204786391,240.00000000000003,0.5773502691896258,0.5773502691896258,-0.5773502691896258
14,0.5,0.5,-0.5,-0.5,2.0943951023931953,119.99999999999999,0.5773502691896258,-0.5773502691896258,-0.5773502691896258
14,-0.5,-0.5,0.5,0.5,4.188790204786391,240.00000000000003,-0.5773502691896258,0.5773502691896258,0.5773502691896258
15,0.5,-0.5,0.5,-0.5,2.0943951023931953,119.99999999999999,-0.5773502691896258,0.5773502691896258,-0.5773502691896258
15,-0.5,0.5,-0.5,0.5,4.188790204786391,240.00000000000003,0.5773502691896258,-0.5773502691896258,0.5773502691896258
16,0.5,-0.5,-0.5,-0.5,2.0943951023931953,119.99999999999999,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258
16,-0.5,0.5,0.5,0.5,4.188790204786391,240.00000000000003,0.5773502691896258,0.5773502691896258,0.5773502691896258
17,0.5,0.5,-0.5,0.5,2.0943951023931953,119.99999999999999,0.5773502691896258,-0.5773502691896258,0.5773502691896258
17,-0.5,-0.5,0.5,-0.5,4.188790204786391,240.00000000000003,-0.5773502691896258,0.5773502691896258,-0.5773502691896258
18,0.5,0.5,0.5,-0.5,2.0943951023931953,119.99999999999999,0.5773502691896258,0.5773502691896258,-0.5773502691896258
18,-0.5,-0.5,-0.5,0.5,4.188790204786391,240.00000000000003,-0.5773502691896258,-0.5773502691896258,0.5773502691896258
19,0.5,-0.5,0.5,0.5,2.0943951023931953,119.99999999999999,-0.5773502691896258,0.5773502691896258,0.5773502691896258
19,-0.5,0.5,-0.5,-0.5,4.188790204786391,240.00000000000003,0.5773502691896258,-0.5773502691896258,-0.5773502691896258
20,0.7071067811865476,0.0,-0.7071067811865475,0.0,1.5707963267948966,90.0,0.0,-1.0,0.0
20,-0.7071067811865476,-0.0,0.7071067811865475,-0.0,4.71238898038469,270.0,-0.0,1.0,-0.0
21,0.0,0.7071067811865475,0.0,0.7071067811865476,3.141592653589793,180.0,0.7071067811865475,0.0,0.7071067811865476
21,-0.0,-0.7071067811865475,-0.0,-0.7071067811865476,3.141592653589793,180.0,-0.7071067811865475,-0.0,-0.7071067811865476
22,0.7071067811865476,0.0,0.7071067811865475,0.0,1.5707963267948966,90.0,0.0,1.0,0.0
22,-0.7071067811865476,-0.0,-0.7071067811865475,-0.0,4.71238898038469,270.0,-0.0,-1.0,-0.0
23,0.0,-0.7071067811865475,0.0,0.7071067811865476,3.141592653589793,180.0,-0.7071067811865475,0.0,0.7071067811865476
23,-0.0,0.7071067811865475,-0.0,-0.7071067811865476,3.141592653589793,180.0,0.7071067811865475,-0.0,-0.7071067811865476
